,word,translation
1738,appeals,
1739,earthwar,
1740,hearing,n
1741,zero,n
1742,scale,n
1743,size,n
1744,catchy,adj
1745,six,num
1746,return,n
1747,implies,
1748,defend,vt
1749,communicate,v
1750,descriptive,adj
1751,told,vbl
1752,occurring,
1753,descriptor,[è®
1754,non,adv
1755,numbered,adj
1756,mention,vt
1757,save,vt
1758,existential,adj
1759,threat,n
1760,ominous,adj
1761,concerning,prep
1762,wanna,v
1763,tag,n
1764,totally,adv
1765,sweeping,n
1766,territories,
1767,defender,n
1768,taking,n
1769,interactive,adj
1770,involved,adj
1771,worst,adj
1772,possibilities,
1773,depending,
1774,aspect,n
1775,futuref,
1776,futured,
1777,experiment,n
1778,test,n
1779,interestede,
1780,futurec,
1781,oddb,
1782,football,n
1783,relates,
1784,territory,n
1785,multiple,adj
1786,attacks,
1787,explanation,n
1788,impact,n
1789,operations,
1790,defenders,
1791,lie,vi
1792,waves,
1793,enemy,n
1794,speaks,
1795,defense,
1796,falling,n
1797,happened,
1798,nostros,
1799,intrigue,n
1800,pique,n
1801,protecting,
1802,planet,n
1803,relate,vt
1804,refer,vt
1805,putting,
1806,self,n
1807,explanatory,adj
1808,describe,
1809,returners,
1810,assortment,n
1811,inclined,_¾å_
1812,intended,adj
1813,customizable,
1814,bug,n
1815,strategy,n
1816,escape,n
1817,anew,adv
1818,sellable,adj
1819,comprehension,n
1820,audience,n
1821,vision,n
1822,military,adj
1823,dire,adj
1824,resonate,v
1825,deal,n
1826,comfy,adj
1827,gangsterbouncer,
1828,bouncer,n
1829,working,n
1830,nightclubs,
1831,downtown,adv
1832,live,adj
1833,logo,n
1834,vest,n
1835,microphone,n
1836,ear,n
1837,piece,n
1838,leather,n
1839,sleeve,n
1840,chain,n
1841,education,n
1842,nd,n
1843,guard,n
1844,pimp,n
1845,door,n
1846,collar,
1847,toughest,
1848,scariest,
1849,tats,
1850,muscles,
1851,bouncerish,
1852,bouncing,adj
1853,combined,adj
1854,crossed,adj
1855,knows,
1856,ward,n
1857,vast,adj
1858,majority,n
1859,unruly,adj
1860,causing,
1861,trouble,n
1862,bar,n
1863,muscular,adj
1864,classic,n
1865,neat,adj
1866,radio,n
1867,nicer,adj
1868,establishment,n
1869,assert,v
1870,sharply,adv
1871,convey,vt
1872,force,n
1873,reckoned,
1874,appropriately,adv
1875,authoritative,adj
1876,fearful,adj
1877,flirty,adj
1878,decisive,adj
1879,actions,
1880,moral,adj
1881,toward,prep
1882,earpiece,n
1883,crowd,n
1884,tackles,
1885,perhaps,adv
1886,rappers,
1887,upgraded,
1888,gangsters,
1889,twocolored,
1890,profession,n
1891,chunky,adj
1892,nononsense,adj
1893,nobody,pron
1894,security,n
1895,plenty,n
1896,trustworthiness,n
1897,except,vt
1898,smiling,adj
1899,inappropriate,adj
1900,grocery,n
1901,store,vt
1902,tattos,
1903,arm,n
1904,hime,
1905,trustworthy,adj
1906,sweetheart,n
1907,strippers,
1908,thinn,
1909,unlikely,adj
1910,sleekest,
1911,hed,
1912,funnest,
1913,shit,vi
1914,overweight,n
1915,shorter,
1916,sleeves,
1917,bouncers,
1918,aggressive,adj
1919,dated,adj
1920,stronger,adj
1921,haughty,adj
1922,intimidation,__¿«
1923,cooler,n
1924,component,n
1925,mall,n
1926,necklace,n
1927,normally,adv
1928,fantastic,adj
1929,evil,adj
1930,fought,vbl
1931,resident,n
1932,gears,
1933,prototype,n
1934,anyways,adv
1935,scorpionzombie,
1936,hybrid,n
1937,blood,n
1938,mouth,n
1939,closer,adj
1940,structure,n
1941,several,adj
1942,resemble,vt
1943,animal,n
1944,creature,n
1945,themed,
1946,fresh,adj
1947,mutations,
1948,cybernetic,adj
1949,creations,
1950,becoming,adj
1951,giant,n
1952,mass,n
1953,ethe,
1954,saw,n
1955,hands,
1956,disfigured,
1957,creatures,
1958,heads,adj
1959,claws,
1960,traditional,adj
1961,humanoid,adj
1962,soldiers,
1963,masks,
1964,mutilated,
1965,spiderlike,adj
1966,insectlike,
1967,unimpressive,adj
1968,teenage,adj
1969,longhaired,
1970,boy,n
1971,tail,n
1972,whip,n
1973,deformed,adj
1974,comparison,n
1975,nonthreatening,
1976,imposing,adj
1977,robotic,
1978,applied,adj
1979,scorpion,n
1980,hcd,
1981,among,prep
1982,grounded,
1983,immerse,vt
1984,monsters,
1985,zombified,
1986,twist,n
1987,exists,
1988,ideal,n
1989,dead,adj
1990,cyborgs,
1991,oriented,adj
1992,quicker,
1993,change,n
1994,spiderscorpion,
1995,result,n
1996,accepted,adj
1997,rules,
1998,mutated,
1999,chemicals,
2000,terrestrial,adj
2001,forces,
2002,lame,adj
2003,psycho,n
2004,moves,
2005,simplistic,adj
2006,plausible,adj
2007,melded,
2008,technology,n
2009,mutation,n
2010,terrifies,
2011,harder,
2012,numbers,n
2013,largest,adj
2014,inpact,
2015,distinctily,
2016,stingers,
2017,finger,n
2018,bowing,n
2019,intersting,
2020,glow,vi
2021,whilte,
2022,rotating,
2023,beforeg,
2024,beforee,
2025,tools,
2026,attachmentsc,
2027,captaina,
2028,haveh,
2029,connected,v
2030,gone,adj
2031,wrongf,
2032,relation,n
2033,types,n
2034,truly,adv
2035,items,
2036,crab,n
2037,morphed,
2038,drill,n
2039,drawing,n
2040,sketch,n
2041,combine,v
2042,nonhuman,adj
2043,terrifying,__¤§_
2044,spider,n
2045,dropoff,
2046,bunch,n
2047,awful,adj
2048,torsos,
2049,unpredictable,adj
2050,intimidated,
2051,dumb,adj
2052,book,n
2053,collect,v
2054,fingers,
2055,nowhere,adv
2056,monster,n
2057,hits,
2058,biting,adj
2059,tearing,adj
2060,mushroom,n
2061,bite,
2062,primary,adj
2063,selection,n
2064,chosen,vbl
2065,photograph,n
2066,shapes,
2067,typography,n
2068,depicting,
2069,stage,n
2070,transition,n
2071,mosthuman,
2072,zombiefied,
2073,turning,n
2074,mutant,n
2075,cross,n
2076,demon,n
2077,undead,
2078,nightmares,
2079,parasite,n
2080,famous,adj
2081,bonus,n
2082,ad,n
2083,flawlessa,
2084,legit,n
2085,gory,adj
2086,quick,adj
2087,uniqueness,
2088,etched,
2089,demonic,adj
2090,tops,adj
2091,recognizable,adj
2092,ness,n
2093,bloody,adj
2094,torso,_____
2095,strain,n
2096,infected,adj
2097,particularly,adv
2098,lifelike,adj
2099,weeks,
2100,personal,adj
2101,preference,n
2102,subjective,adj
2103,scariness,
2104,visceral,adj
2105,reaction,n
2106,humanoids,
2107,suffer,vt
2108,overuse,vt
2109,trope,n
2110,anime,n
2111,walk,vi
2112,upright,adj
2113,appendages,
2114,aliens,
2115,copied,
2116,multi,
2117,tentacles,
2118,varying,
2119,degrees,
2120,clawlike,
2121,invoked,
2122,view,n
2123,aa,
2124,punch,n
2125,unhuman,adj
2126,tech,n
2127,attack,n
2128,silly,adj
2129,protagonist,n
2130,zombiethemed,
2131,recently,adv
2132,regular,adj
2133,targeted,
2134,experimentation,n
2135,organic,adj
2136,virus,n
2137,vile,adj
2138,evolved,
2139,patriarch,n
2140,killing,n
2141,floor,n
2142,deep,adj
2143,crimsonred,
2144,outstanding,adj
2145,likewise,adv
2146,conventional,adj
2147,standard,n
2148,horror,n
2149,visualize,vt
2150,unsettling,
2151,silent,adj
2152,somethign,
2153,bane,n
2154,worse,n
2155,recognizably,adv
2156,career,n
2157,amalgamation,n
2158,loss,n
2159,uneasy,adj
2160,whatever,pron
2161,happening,n
2162,dread,n
2163,hit,n
2164,surreal,
2165,realismbased,
2166,fear,n
2167,supernatural,adj
2168,beings,
2169,rooted,adj
2170,form,n
2171,merged,
2172,talons,
2173,movie,n
2174,disturbing,adj
2175,wild,adj
2176,humanlike,
2177,oneoff,
2178,frightening,adj
2179,overwhelming,adj
2180,adfh,
2181,sequence,n
2182,guess,vt
2183,max,adv
2184,belonged,
2185,cartoonishwhich,
2186,lovecraftian,
2187,doom,n
2188,hellbeast,
2189,stunning,adj
2190,attracts,
2191,hellish,adj
2192,zombieish,
2193,reasons,
2194,million,num
2195,shamblers,
2196,survivalzombiethemed,
2197,separate,adj
2198,pack,n
2199,agony,n
2200,gs,
2201,downright,adj
2202,explore,v
2203,volcanic,adj
2204,ruined,adj
2205,atmosphere,n
2206,wait,v
2207,cloud,n
2208,city,n
2209,imagination,n
2210,colored,adj
2211,swirls,
2212,lightning,n
2213,captivates,
2214,storm,
2215,brewing,n
2216,calls,n
2217,grim,adj
2218,ruins,
2219,forest,n
2220,motif,n
2221,glowing,adj
2222,desert,n
2223,biome,n
2224,partial,adj
2225,built,vbl
2226,lava,n
2227,flows,
2228,poorly,adv
2229,illustrated,
2230,flowers,
2231,provikes,
2232,midevil,
2233,era,n
2234,fortress,n
2235,areas,
2236,living,n
2237,journey,n
2238,anticipation,n
2239,expecting,
2240,flower,n
2241,fauna,n
2242,exploring,
2243,underground,adj
2244,cave,n
2245,gloomy,adj
2246,mystical,adj
2247,secrets,
2248,magical,adj
2249,lots,
2250,lush,adj
2251,landscapes,
2252,dungeon,n
2253,ambivalent,adj
2254,dry,adj
2255,barren,adj
2256,lands,
2257,magic,n
2258,grand,adj
2259,senses,
2260,unclear,adj
2261,communal,adj
2262,exploration,n
2263,linear,adj
2264,paths,
2265,link,n
2266,indoor,adj
2267,environments,
2268,example,n
2269,rooms,
2270,anywhere,adv
2271,western,adj
2272,hc,
2273,bgdf,
2274,darkness,n
2275,wonder,n
2276,underworld,n
2277,worlds,
2278,colliding,
2279,whimsical,adj
2280,storms,
2281,called,
2282,dig,v
2283,association,n
2284,absolute,adj
2285,ancient,adj
2286,civilizations,
2287,interests,
2288,reveal,vt
2289,fairytale,adj
2290,degree,n
2291,mysticism,n
2292,storyline,
2293,enjoying,
2294,floating,adj
2295,path,n
2296,quest,n
2297,adventures,
2298,lotr,
2299,kings,
2300,toweri,
2301,illustration,n
2302,superscary,
2303,thrillpacked,
2304,cliched,
2305,derivative,adj
2306,nascent,adj
2307,themwell,
2308,evidence,n
2309,alive,adj
2310,locations,
2311,healthy,adj
2312,surviving,
2313,intersection,n
2314,inferred,
2315,treasures,
2316,onenote,
2317,emphasis,n
2318,single,adj
2319,fairy,n
2320,tale,n
2321,traps,
2322,room,n
2323,offers,
2324,cavernous,adj
2325,stairwells,
2326,civilization,n
2327,emotions,
2328,spark,n
2329,perspective,n
2330,themes,
2331,ruin,v
2332,search,n
2333,places,
2334,placed,v
2335,heavens,
2336,heaven,n
2337,hell,n
2338,historical,adj
2339,location,n
2340,intrigues,
2341,enjoyable,adj
2342,typically,adv
2343,centric,adj
2344,leaned,
2345,longforgotten,
2346,nooks,
2347,crannies,
2348,theyd,
2349,risky,adj
2350,filled,
2351,troops,
2352,danger,n
2353,investigate,v
2354,wildlife,n
2355,weather,n
2356,smell,n
2357,roses,
2358,worldforest,
2359,incredible,adj
2360,consideration,n
2361,settings,n
2362,present,n
2363,caves,
2364,explored,
2365,uninteresting,adj
2366,leads,
2367,lies,n
2368,ahead,adj
2369,stimulates,
2370,familiar,adj
2371,gac,
2372,efb,
2373,dreary,adj
2374,akin,adj
2375,empire,n
2376,realness,
2377,draws,
2378,turbulent,adj
2379,surprises,
2380,dessert,n
2381,clouds,
2382,mundane,adj
2383,camping,n
2384,afoul,adv
2385,convection,n
2386,kinds,
2387,peril,n
2388,opportunity,n
2389,lit,vbl
2390,historic,adj
2391,value,n
2392,nonunique,
2393,maze,n
2394,caverns,
2395,corners,
2396,archeological,adj
2397,potential,adj
2398,film,n
2399,unsteady,adj
2400,ground,n
2401,night,n
2402,sharing,
2403,spend,v
2404,beetle,n
2405,armor,n
2406,trim,adj
2407,accents,
2408,scythe,n
2409,mount,n
2410,helmet,n
2411,proportion,n
2412,hydra,n
2413,complaints,
2414,remarkable,adj
2415,hat,n
2416,scales,
2417,hold,n
2418,tentacle,n
2419,fetish,n
2420,artistically,adv
2421,leastwouldnt,
2422,die,vi
2423,octopus,n
2424,wizard,n
2425,gruff,adj
2426,weight,n
2427,holder,n
2428,flames,
2429,elbows,
2430,represent,vt
2431,mysteries,
2432,ocean,n
2433,conquer,vt
2434,guardian,n
2435,rankings,
2436,scared,adj
2437,powers,
2438,mythology,n
2439,origins,
2440,motives,
2441,similarly,adv
2442,inn,n
2443,combat,n
2444,sparks,
2445,curiosity,n
2446,bge,
2447,magician,n
2448,meant,vbl
2449,withb,
2450,creaturef,
2451,fifthe,
2452,whyd,
2453,mec,n
2454,charchters,
2455,challenger,n
2456,ebag,
2457,endgame,n
2458,fights,
2459,hitting,
2460,slashing,adj
2461,elementals,
2462,dragon,n
2463,weighing,
2464,justice,n
2465,delivered,
2466,defensive,adj
2467,starting,n
2468,onward,adj
2469,capabilities,
2470,goblin,n
2471,censors,
2472,cthulhu,
2473,alien,n
2474,cruelty,n
2475,reinforcing,
2476,via,prep
2477,animals,
2478,worthy,n
2479,nemesis,n
2480,dragons,
2481,intrigued,
2482,final,n
2483,bosses,
2484,leaders,
2485,mini,n
2486,orders,
2487,slowest,
2488,win,v
2489,successfully,adv
2490,stature,n
2491,underwater,adj
2492,worldliness,n
2493,electric,adj
2494,advancing,
2495,halo,n
2496,orb,n
2497,frustrated,adj
2498,numerous,adj
2499,poison,n
2500,timesor,
2501,fighters,
2502,riding,n
2503,beast,n
2504,onto,prep
2505,welding,
2506,sword,n
2507,calligraphy,n
2508,pen,n
2509,fireballs,
2510,layout,n
2511,outlooka,
2512,gentle,adj
2513,across,adv
2514,frail,adj
2515,electricity,n
2516,artwork,n
2517,exotic,adj
2518,mythical,adj
2519,commonplace,n
2520,feelings,
2521,major,n
2522,strengths,
2523,plan,n
2524,predictable,adj
2525,thinking,n
2526,accordance,n
2527,manage,vi
2528,unmanly,adj
2529,sorcerymagic,
2530,humnalike,
2531,spookier,
2532,weirder,
2533,obtuselooking,
2534,interaction,n
2535,brawler,n
2536,souls,
2537,kill,v
2538,seconds,
2539,specifically,adv
2540,rpg,Role
2541,foreboding,n
2542,skeletor,
2543,childhood,n
2544,foe,n
2545,nostalgia,n
2546,harry,v
2547,potter,n
2548,mine,n
2549,eyed,adj
2550,squid,n
2551,pros,
2552,geand,
2553,ac,"Alternating Current,äº¤æ__;Armored Car,è£__è½ äº¤æ_(_);n"
2554,muscle,n
2555,men,n
2556,apparent,adj
2557,electrical,adj
2558,weirdin,
2559,defeat,n
2560,guessing,
2561,origin,n
2562,runs,
2563,variety,n
2564,flying,adj
2565,charachter,
2566,running,n
2567,catlike,adj
2568,wings,n
2569,snake,n
2570,murder,n
2571,chest,n
2572,puffed,
2573,luminescent,adj
2574,feet,n
2575,harness,n
2576,narrow,n
2577,asian,adj
2578,influenced,
2579,whiskers,n
2580,gradient,adj
2581,feathers,
2582,perched,
2583,teal,n
2584,fangs,
2585,spikes,
2586,conveyed,
2587,loyalty,n
2588,appealed,
2589,identifiable,adj
2590,studying,
2591,process,n
2592,player,n
2593,companions,
2594,exist,vi
2595,possible,adj
2596,likeness,n
2597,appearancei,
2598,selected,adj
2599,grace,n
2600,dea,
2601,loyal,adj
2602,friendspartners,
2603,mixture,n
2604,past,n
2605,create,vt
2606,cat,
2607,regard,n
2608,deer,
2609,griffin,n
2610,fly,n
2611,reliable,adj
2612,rely,v
2613,connection,n
2614,animated,adj
2615,display,vt
2616,ultra,adj
2617,tiny,adj
2618,hurt,v
2619,cats,
2620,christmas,n
2621,north,n
2622,poleup,
2623,goodi,
2624,heartened,
2625,beside,prep
2626,lion,n
2627,pet,n
2628,ride,v
2629,shoulder,n
2630,pokÃ©mon,
2631,unwieldy,adj
2632,eat,v
2633,protect,vt
2634,alongside,adv
2635,legged,adj
2636,crystals,
2637,various,adj
2638,faster,adj
2639,composition,n
2640,otherworldliness,n
2641,birdhalf,
2642,hinderance,
2643,spike,n
2644,issue,n
2645,eighth,num
2646,reminded,
2647,stuffed,
2648,fur,n
2649,adorableness,
2650,wed,v
2651,ending,n
2652,falkor,
2653,endearing,adj
2654,versatile,adj
2655,efg,
2656,finer,adj
2657,cartoon,n
2658,puts,
2659,palette,n
2660,unfriendly,adv
2661,unapproachableh,
2662,distantremoved,
2663,ephemeral,adj
2664,possibility,n
2665,emotional,adj
2666,connectionc,
2667,limbs,
2668,unrelatable,adj
2669,ancientness,
2670,atzec,
2671,mayan,adj
2672,loreb,
2673,warmer,n
2674,mobilize,v
2675,presence,n
2676,tactically,
2677,appealingd,
2678,feline,adj
2679,balance,n
2680,cuddlyapproachable,
2681,majestic,adj
2682,chinese,adj
2683,flair,n
2684,squirrel,n
2685,owl,n
2686,itg,
2687,cuddly,adj
2688,cuddle,v
2689,companionf,
2690,ranks,
2691,appealingly,adv
2692,accessible,adj
2693,somehow,adv
2694,dignified,adj
2695,strongd,
2696,enormous,adj
2697,cutesy,adj
2698,nimble,adj
2699,excellent,adj
2700,horns,
2701,angry,adj
2702,starts,
2703,weakest,
2704,fluffy,adj
2705,falcor,
2706,additionally,adv
2707,extend,v
2708,cutest,
2709,steed,n
2710,gonna,<ç¾
2711,picking,v
2712,wisdom,n
2713,ally,v
2714,immersed,
2715,awfully,adv
2716,adorable,adj
2717,neverending,
2718,nifty,adj
2719,bgh,
2720,faec,
2721,bfc,Bureau
2722,facea,
2723,flyer,n
2724,prey,n
2725,antlers,
2726,scroll,n
2727,sending,
2728,receiving,n
2729,messages,
2730,toe,n
2731,sickle,n
2732,thor,n
2733,hammer,n
2734,gru,<ä¿
2735,guardians,
2736,lords,
2737,ice,n
2738,princess,n
2739,spell,n
2740,cf,
2741,death,n
2742,greenery,n
2743,skull,n
2744,lesbians,
2745,refreshing,adj
2746,defeated,
2747,descend,vi
2748,opion,
2749,thier,
2750,sorcery,n
2751,secondary,adj
2752,ram,n
2753,bipedal,n
2754,bush,n
2755,shape,n
2756,viking,n
2757,fiery,adj
2758,dwarf,n
2759,garb,n
2760,orc,n
2761,monotone,adj
2762,malevolent,
2763,runes,
2764,walking,v
2765,depicted,
2766,spread,n
2767,brute,adj
2768,ramhorned,
2769,axe,n
2770,necromancer,n
2771,inherent,adj
2772,cliche,n
2773,wanted,
2774,backstories,
2775,distinctive,adj
2776,selves,__
2777,chaacter,
2778,varied,adj
2779,skillset,
2780,complement,n
2781,choosing,vbl
2782,mallet,n
2783,healer,n
2784,gb,
2785,warriors,
2786,de,[__
2787,schemes,
2788,willing,adj
2789,zelda,n
2790,angel,n
2791,ogre,n
2792,pentagrams,
2793,advantages,
2794,trump,n
2795,cards,
2796,merge,v
2797,ie,
2798,offensive,adj
2799,eclectic,adj
2800,antler,n
2801,elf,n
2802,welldrawn,
2803,otherworldly,adj
2804,malemasculine,
2805,taste,v
2806,conan,
2807,identified,
2808,forcefully,adv
2809,kicks,
2810,bored,adj
2811,nonhumanoid,
2812,offer,n
2813,insane,adj
2814,emersion,n
2815,stop,n
2816,fury,n
2817,heart,n
2818,intellectual,adj
2819,mental,adj
2820,carries,
2821,battles,
2822,bases,base___
2823,spooky,adj
2824,performing,adj
2825,watching,
2826,spirits,
2827,brawlers,
2828,pairing,
2829,rpgs,
2830,druid,n
2831,theey,
2832,manipulate,vt
2833,advantage,n
2834,healing,n
2835,elsa,n
2836,fb,fullback
2837,formidable,adj
2838,ax,n
2839,loveable,
2840,friends,
2841,bodies,
2842,please,adj
2843,necessarily,adv
2844,safer,adj
2845,skeleton,n
2846,shirtless,
2847,melee,n
2848,combo,n
2849,adult,n
2850,baby,n
2851,pixar,
2852,animation,n
2853,dg,
2854,wow,n
2855,votedaccording,
2856,bear,n
2857,pirate,n
2858,nose,n
2859,blush,v
2860,bushy,adj
2861,suitcase,n
2862,portrayed,
2863,kids,
2864,thatll,
2865,screen,n
2866,childish,adj
2867,seriously,adv
2868,magenta,n
2869,promise,vt
2870,scrappy,adj
2871,highend,
2872,professionally,adv
2873,list,n
2874,exposed,adj
2875,cartoonlike,
2876,ther,
2877,changed,
2878,everywhere,adv
2879,havent,
2880,sweet,adj
2881,mighty,n
2882,proportional,adj
2883,experiences,
2884,glitz,
2885,glory,n
2886,expressing,
2887,thoughts,
2888,line,n
2889,axes,
2890,se,symb
2891,haired,
2892,rounded,adj
2893,midsection,n
2894,lacking,adj
2895,fs,
2896,appreciate,vt
2897,cheap,adj
2898,lowbudget,
2899,poorlymade,
2900,chibi,
2901,styled,
2902,issues,
2903,oversized,
2904,straight,adj
2905,childrens,
2906,cartoony,
2907,gandalf,
2908,let,vt
2909,wielding,
2910,oldthe,
2911,toony,
2912,overused,
2913,exagerated,
2914,massively,
2915,incent,vt
2916,comfort,n
2917,school,n
2918,potencial,
2919,mature,adj
2920,simpler,
2921,therell,
2922,mannerisms,
2923,depends,
2924,categories,
2925,male,adj
2926,figures,
2927,hyper,
2928,tinge,n
2929,losing,adj
2930,voluptuous,adj
2931,violent,adj
2932,vivi,
2933,ffsecond,
2934,manly,adj
2935,axesthird,
2936,amfifth,
2937,pandering,
2938,gaze,v
2939,community,n
2940,clothessixth,
2941,chioce,
2942,child,n
2943,children,n
2944,manso,
2945,toonseventh,
2946,girlfinal,
2947,cares,
2948,popular,adj
2949,minority,n
2950,exaggerate,v
2951,frozen,adj
2952,ordinary,adj
2953,cohesion,n
2954,anna,n
2955,cartoonyyetrealistic,
2956,featured,adj
2957,nostalgic,adj
2958,exited,
2959,meet,n
2960,desirable,adj
2961,feast,n
2962,examples,n
2963,explain,v
2964,simplified,
2965,smoothed,
2966,adults,
2967,adventuresome,adj
2968,troll,vi
2969,effort,n
2970,ages,
2971,creases,
2972,boxy,adj
2973,rd,
2974,grader,n
2975,drew,vbl
2976,bestlooking,
2977,beliefs,
2978,eb,
2979,favorites,
2980,masculine,adj
2981,medieval,adj
2982,gamehe,
2983,likenesses,
2984,panel,n
2985,artists,
2986,computer,n
2987,generated,
2988,modeling,[è®
2989,merits,
2990,gritty,adj
2991,presentation,n
2992,imaginary,adj
2993,production,n
2994,monochromatic,adj
2995,toy,
2996,tries,
2997,blocky,adj
2998,retains,
2999,incentive,n
3000,desire,vt
3001,cv,=cv
3002,bring,vt
3003,motivation,n
3004,articulated,
3005,captivate,vt
3006,passionate,adj
3007,crappy,adj
3008,alot,
3009,hilarious,adj
3010,medevial,
3011,times,n
3012,lastly,adv
3013,watch,n
3014,unwind,vt
3015,heavily,adv
3016,rpgaction,
3017,clash,n
3018,discern,v
3019,fond,adj
3020,costumes,
3021,comprehend,vt
3022,gamers,
3023,accustomed,adj
3024,flare,n
3025,distinction,n
3026,complexity,n
3027,respect,n
3028,seriousness,n
3029,eyebrows,
3030,beard,n
3031,consistency,n
3032,distinguish,v
3033,significant,adj
3034,minimal,adj
3035,limits,
3036,absence,n
3037,ears,
3038,blank,adj
3039,distinguished,adj
3040,afford,vt
3041,greatest,adj
3042,tower,n
3043,spells,
3044,town,n
3045,bird,n
3046,unfinished,adj
3047,realisticlifelike,
3048,blocklike,
3049,noble,adj
3050,liking,n
3051,comical,adj
3052,respective,adj
3053,sides,
3054,fuzzy,adj
3055,mood,n
3056,choicesb,
3057,abstract,n
3058,geometry,n
3059,finished,adj
3060,blend,vt
3061,boxier,
3062,u,n
3063,shades,
3064,meaningful,adj
3065,interestingb,
3066,staff,n
3067,squished,
3068,lift,n
3069,mid,adj
3070,wooden,adj
3071,beam,n
3072,upcoming,adj
3073,shaped,vbl
3074,disney,n
3075,maintains,
3076,heroic,adj
3077,spectrum,n
3078,gnomish,adj
3079,problem,n
3080,identity,n
3081,defined,
3082,inquisitive,adj
3083,steal,v
3084,providing,conj
3085,lookout,n
3086,passion,n
3087,harsh,adj
3088,field,n
3089,communicating,
3090,defended,
3091,cape,n
3092,helped,
3093,affected,adj
3094,wind,n
3095,determined,adj
3096,brand,n
3097,uneven,adj
3098,listed,adj
3099,apocopate,adj
3100,expressive,adj
3101,cell,n
3102,shaded,
3103,cheapens,
3104,favorable,adj
3105,regards,
3106,ideas,
3107,celshaded,
3108,winners,
3109,water,n
3110,jug,n
3111,belt,n
3112,smooth,adj
3113,surface,n
3114,misaligned,adj
3115,nonexistent,adj
3116,adapted,adj
3117,bill,n
3118,stylizing,
3119,scratchy,adj
3120,wont,n
3121,stakes,
3122,finisha,
3123,interestingd,
3124,minor,n
3125,turns,
3126,undertone,n
3127,negligible,adj
3128,conquers,
3129,messes,
3130,rendition,n
3131,rendering,n
3132,vintage,n
3133,attempts,
3134,realistically,adv
3135,blacked,
3136,spear,n
3137,masters,
3138,sizes,
3139,convincing,adj
3140,inbetween,
3141,cartoons,
3142,robin,n
3143,hood,n
3144,fox,n
3145,panache,n
3146,category,n
3147,thecharacter,
3148,depressing,adj
3149,cutoff,n
3150,buy,v
3151,goodwill,n
3152,motivated,
3153,desperation,n
3154,plainer,
3155,fold,n
3156,skinnier,
3157,drawings,
3158,relaxing,
3159,swarm,n
3160,medium,n
3161,island,n
3162,terrain,n
3163,interact,vi
3164,formation,n
3165,andor,
3166,maintain,vt
3167,islands,
3168,dull,adj
3169,simply,adv
3170,wage,n
3171,uniquely,adv
3172,staggered,
3173,retro,n
3174,virtual,adj
3175,snes,
3176,chrono,
3177,trigger,vt
3178,noisy,adj
3179,thanks,n
3180,geometrical,adj
3181,levels,
3182,explorative,adj
3183,compel,vt
3184,sega,SEGA_____
3185,energy,n
3186,structures,
3187,triangle,n
3188,distinguishable,adj
3189,grass,n
3190,land,n
3191,mild,adj
3192,corner,n
3193,river,n
3194,inviting,adj
3195,map,n
3196,unlike,adj
3197,goodb,
3198,overpowering,adj
3199,initial,adj
3200,realized,
3201,enjoyed,
3202,layered,[è®
3203,civ,
3204,thr,
3205,veer,vi
3206,pool,n
3207,surrounded,
3208,colour,n
3209,colourfull,
3210,pokÃ©mons,
3211,cel,
3212,okami,
3213,legend,n
3214,waker,
3215,diverse,adj
3216,incomplete,adj
3217,whiteish,
3218,infiltrators,
3219,walls,
3220,sea,n
3221,amenities,n
3222,house,n
3223,environmental,adj
3224,arbitrary,adj
3225,cartooney,
3226,semirealism,
3227,earthy,adj
3228,abstraction,n
3229,opportunities,
3230,tiered,
3231,lingerie,å¦_¥³è´´èº«__¡£
3232,bests,
3233,stripper,n
3234,entice,v
3235,customers,
3236,tip,n
3237,photoshopped,
3238,revealing,adj
3239,plump,adj
3240,sucker,n
3241,pantyhose,
3242,exclusive,adj
3243,youngest,
3244,accentuates,
3245,tattoo,v
3246,trashy,adj
3247,garters,
3248,thighhigh,
3249,legwear,
3250,tempting,adj
3251,lipstick,n
3252,sternum,n
3253,thigh,n
3254,highs,
3255,prettiest,
3256,abdomen,n
3257,flabby,adj
3258,answer,n
3259,mentality,n
3260,pink,n
3261,sultry,adj
3262,gorgeous,adj
3263,direction,n
3264,wander,vi
3265,code,n
3266,wife,n
3267,naturally,adv
3268,wonderful,adj
3269,brapanties,
3270,sheer,adj
3271,fish,n
3272,net,n
3273,unexciting,
3274,hesitant,adj
3275,hairstyles,
3276,fewer,int
3277,skirt,n
3278,catches,
3279,noise,n
3280,piercing,adj
3281,appealingc,
3282,tan,n
3283,bra,n
3284,alluringa,
3285,shade,n
3286,alluring,adj
3287,depictions,
3288,stylecolor,
3289,unattractive,adj
3290,wiped,
3291,foggy,adj
3292,argue,vi
3293,lucky,adj
3294,smokey,adj
3295,destruction,n
3296,premise,n
3297,shelter,n
3298,mob,n
3299,question,n
3300,activity,n
3301,abandoned,adj
3302,cars,
3303,disarray,v
3304,moving,vbl
3305,messed,
3306,shouldnt,
3307,misty,adj
3308,crumbling,
3309,hint,n
3310,smokecloudiness,
3311,safety,n
3312,retreat,vi
3313,encroaching,
3314,hole,n
3315,floors,
3316,tactical,adj
3317,gritter,
3318,faded,adj
3319,aesthetics,n
3320,sadly,adv
3321,poignant,adj
3322,vestiges,
3323,cheerful,adj
3324,grimy,adj
3325,encapsulates,
3326,eerie,adj
3327,aspects,
3328,hoard,v
3329,surround,vt
3330,secured,
3331,attacking,
